0.00,-6.02,-4.97,4.70,0.10,-0.02,-0.02,34.18,0
0.05,-6.00,-4.95,4.69,0.10,-0.02,-0.02,34.18,0
0.10,-5.99,-4.98,4.70,0.10,-0.02,-0.02,34.19,3
0.15,-5.99,-4.96,4.69,0.10,-0.02,-0.02,34.20,0
0.20,-6.00,-4.96,4.67,0.10,-0.02,-0.02,34.18,3
0.25,-5.99,-4.98,4.69,0.10,-0.02,-0.02,34.22,0
0.30,-5.98,-4.98,4.67,0.10,-0.02,-0.02,34.23,4
0.35,-6.00,-4.99,4.69,0.10,-0.02,-0.02,34.22,0
0.40,-5.98,-4.98,4.70,0.10,-0.02,-0.01,34.25,1
0.45,-6.00,-4.96,4.72,0.10,-0.02,-0.02,34.25,0
0.50,-6.03,-4.98,4.70,0.09,-0.02,-0.03,34.24,2
0.55,-6.00,-4.97,4.69,0.09,-0.02,-0.02,34.26,0
0.60,-5.99,-4.97,4.69,0.10,-0.02,-0.02,34.27,0
0.65,-6.00,-4.96,4.72,0.10,-0.02,-0.02,34.27,1
0.70,-6.00,-4.95,4.72,0.10,-0.01,-0.02,34.28,0
0.75,-5.99,-4.97,4.72,0.10,-0.02,-0.03,34.30,2
0.80,-5.98,-4.98,4.74,0.10,-0.02,-0.02,34.31,0
0.85,-6.00,-4.96,4.71,0.10,-0.02,-0.02,34.31,0
0.90,-5.99,-4.95,4.70,0.10,-0.02,-0.02,34.32,0
0.95,-6.00,-4.97,4.70,0.10,-0.02,-0.02,34.32,0
1.00,-6.00,-4.98,4.71,0.10,-0.02,-0.02,34.32,2
1.05,-6.01,-4.97,4.68,0.10,-0.02,-0.02,34.35,0
1.10,-6.00,-4.98,4.69,0.10,-0.02,-0.02,34.34,0
1.15,-6.00,-4.98,4.69,0.10,-0.02,-0.02,34.37,5
1.20,-6.00,-4.98,4.71,0.10,-0.02,-0.02,34.36,4
1.25,-6.01,-4.96,4.69,0.10,-0.02,-0.02,34.36,0
1.30,-6.00,-4.98,4.70,0.10,-0.02,-0.02,34.37,0
1.35,-6.00,-4.99,4.71,0.09,-0.02,-0.02,34.37,1
1.40,-6.01,-4.97,4.71,0.10,-0.02,-0.02,34.40,0
1.45,-5.99,-4.95,4.66,0.10,-0.02,-0.02,34.38,2
1.50,-6.00,-4.97,4.72,0.10,-0.02,-0.02,34.37,3
1.55,-5.99,-4.98,4.66,0.10,-0.02,-0.02,34.39,0
1.60,-6.00,-4.98,4.72,0.10,-0.02,-0.02,34.38,1
1.65,-6.02,-4.97,4.73,0.10,-0.02,-0.02,34.40,5
1.70,-6.02,-4.97,4.70,0.09,-0.00,-0.02,34.41,0
1.75,-6.05,-4.97,4.69,0.09,-0.02,-0.02,34.41,2
1.80,-6.00,-4.98,4.69,0.10,-0.04,-0.02,34.40,0
1.85,-6.03,-4.95,4.70,0.10,-0.03,-0.02,34.44,0
1.90,-6.01,-4.98,4.71,0.10,-0.02,-0.02,34.41,0
1.95,-6.02,-4.96,4.69,0.10,-0.02,-0.02,34.42,0
2.00,-6.02,-4.98,4.73,0.10,-0.02,-0.03,34.42,3
2.05,-6.00,-4.96,4.71,0.09,-0.02,-0.03,34.44,4
2.10,-6.00,-4.99,4.71,0.10,-0.02,-0.02,34.44,0
2.15,-6.02,-4.98,4.70,0.10,-0.02,-0.02,34.44,5
2.20,-6.00,-4.99,4.67,0.09,-0.01,-0.02,34.45,3
2.25,-6.00,-4.95,4.72,0.10,-0.02,-0.01,34.46,3
2.30,-6.00,-4.98,4.70,0.10,-0.02,-0.02,34.45,0
